Phenotype,Genotype,Red,Yellow,Shade,Value
White,rryyss,0,0,0,0
White,rryySs,0,0,2,2
White,rryySS,0,0,3,3
Yellow,rrYyss,0,2,0,8
Yellow,rrYySs,0,2,2,10
White,rrYySS,0,2,3,11
Yellow,rrYYss,0,3,0,12
Yellow,rrYYSs,0,3,2,14
Yellow,rrYYSS,0,3,3,15
Red,Rryyss,2,0,0,32
Pink,RryySs,2,0,2,34
White,RryySS,2,0,3,35
Orange,RrYyss,2,2,0,40
Yellow,RrYySs,2,2,2,42
Yellow,RrYySS,2,2,3,43
Orange,RrYYss,2,3,0,44
Yellow,RrYYSs,2,3,2,46
Yellow,RrYYSS,2,3,3,47
Black,RRyyss,3,0,0,48
Red,RRyySs,3,0,2,50
Red,RRyySS,3,0,3,51
Black,RRYyss,3,2,0,56
Red,RRYySs,3,2,2,58
Red,RRYySS,3,2,3,59
Purple,RRYYss,3,3,0,60
Purple,RRYYSs,3,3,2,62
Purple,RRYYSS,3,3,3,63
